"tick","Remaining Humans","Remaining Zombies"
1.0,80,4
2.0,80,4
3.0,80,4
4.0,80,4
5.0,80,4
6.0,80,6
7.0,80,9
8.0,80,12
9.0,80,16
10.0,80,21
11.0,80,26
12.0,80,32
13.0,80,39
14.0,80,48
15.0,80,58
16.0,80,70
17.0,80,83
18.0,80,96
19.0,80,113
20.0,80,133
21.0,80,154
22.0,80,176
23.0,80,198
24.0,80,222
25.0,80,249
26.0,80,281
27.0,80,315
28.0,80,350
29.0,80,388
30.0,80,430
31.0,80,473
32.0,80,517
33.0,80,562
34.0,80,611
35.0,80,662
36.0,80,716
37.0,80,773
38.0,80,832
39.0,80,894
40.0,80,957
41.0,80,1022
42.0,80,1089
43.0,80,1156
44.0,80,1223
45.0,80,1290
46.0,80,1359
47.0,80,1430
48.0,80,1504
49.0,80,1581
50.0,80,1659
51.0,80,1738
52.0,80,1818
53.0,80,1898
54.0,80,1978
55.0,80,2058
56.0,80,2138
57.0,80,2218
58.0,80,2298
59.0,80,2378
60.0,80,2458
61.0,80,2538
62.0,80,2618
63.0,80,2698
64.0,80,2778
65.0,80,2858
66.0,80,2938
67.0,80,3018
68.0,80,3098
69.0,80,3178
70.0,80,3258
71.0,80,3338
72.0,80,3418
73.0,80,3498
74.0,80,3578
75.0,80,3658
76.0,80,3738
77.0,80,3818
78.0,80,3898
79.0,80,3978
80.0,80,4058
81.0,80,4138
82.0,80,4218
83.0,80,4298
84.0,80,4378
85.0,80,4458
86.0,80,4538
87.0,80,4618
88.0,80,4698
89.0,80,4778
90.0,80,4858
91.0,80,4938
92.0,80,5018
93.0,80,5098
94.0,80,5178
95.0,80,5258
96.0,80,5338
97.0,80,5418
98.0,80,5498
99.0,80,5578
100.0,80,5658
101.0,80,5738
102.0,80,5818
103.0,80,5898
104.0,80,5978
105.0,80,6058
106.0,80,6138
107.0,80,6218
108.0,80,6298
109.0,80,6378
110.0,80,6458
111.0,80,6538
112.0,80,6618
113.0,80,6698
114.0,80,6778
115.0,80,6858
116.0,80,6938
117.0,80,7018
118.0,80,7098
119.0,80,7178
120.0,80,7258
121.0,80,7338
122.0,80,7418
123.0,80,7498
124.0,80,7578
125.0,80,7658
126.0,80,7738
127.0,80,7818
128.0,80,7898
129.0,80,7978
130.0,80,8058
131.0,80,8138
